,AAPL,GOOGL,MSFT
2025-11-28,278.3328857421875,319.7456359863281,489.82867431640625
2025-12-01,282.57501220703125,314.46282958984375,484.5820007324219
2025-12-02,285.6592712402344,315.38153076171875,487.82757568359375
2025-12-03,283.623046875,319.19635009765625,475.6119689941406
2025-12-04,280.179443359375,317.1890869140625,478.7081604003906
2025-12-05,278.26300048828125,320.8341064453125,481.01788330078125
2025-12-08,277.3746643066406,313.49932861328125,488.8430480957031
2025-12-09,276.6659851074219,316.85693359375,489.8385925292969
2025-12-10,278.26300048828125,319.9847412109375,476.4382629394531
2025-12-11,277.514404296875,312.210205078125,481.3265075683594
2025-12-12,277.763916015625,309.07244873046875,476.4084167480469
2025-12-15,273.6016540527344,308.003173828125,472.7148742675781
2025-12-16,274.1007385253906,306.3543395996094,474.2779235839844
2025-12-17,271.33587646484375,296.5112609863281,474.00909423828125
2025-12-18,271.68524169921875,302.2472229003906,481.8342590332031
2025-12-19,273.1625061035156,306.9439392089844,483.7656555175781
2025-12-22,270.4674987792969,309.56207275390625,482.7701110839844
2025-12-23,271.85491943359375,314.1288757324219,484.6915588378906
2025-12-24,273.3022155761719,313.8690490722656,485.8563232421875
2025-12-26,272.89300537109375,313.2894592285156,485.5477294921875
2025-12-29,273.2523498535156,313.33941650390625,484.9404296875
2025-12-30,272.57354736328125,313.6292419433594,485.3187561035156
2025-12-31,271.3558349609375,312.7798156738281,481.4758605957031
2026-01-02,270.5074462890625,314.9283142089844,470.84320068359375
2026-01-05,266.764404296875,316.3173522949219,470.75360107421875
2026-01-06,261.87347412109375,314.1188659667969,476.3885192871094
2026-01-07,259.84722900390625,321.7535095214844,481.3265075683594
2026-01-08,258.55963134765625,325.2110595703125,475.9902648925781
2026-01-09,258.8890075683594,328.3388671875,477.15509033203125
2026-01-12,259.7673645019531,331.62652587890625,475.06439208984375
2026-01-13,260.5658874511719,335.7336730957031,468.5832824707031
2026-01-14,259.4779052734375,335.603759765625,457.3433532714844
2026-01-15,257.7311706542969,332.5458984375,454.6354064941406
2026-01-16,255.05612182617188,329.7678527832031,457.8211975097656
2026-01-20,246.2425079345703,321.77349853515625,452.5048522949219
2026-01-21,247.1907501220703,328.1490173339844,442.1409912109375
2026-01-22,247.8894500732422,330.3074951171875,449.1398620605469
2026-01-23,247.58001708984375,327.6993103027344,463.8841857910156
2026-01-26,254.93637084960938,333.02557373046875,468.1949768066406
2026-01-27,257.7910461425781,334.31463623046875,478.4493408203125
2026-01-28,255.96444702148438,335.7736511230469,479.4946594238281
2026-01-29,257.801025390625,338.0120544433594,431.57806396484375
2026-01-30,258.99884033203125,337.7622375488281,428.3822937011719
2026-02-02,269.50927734375,343.4482421875,421.49298095703125
2026-02-03,268.98028564453125,339.47100830078125,409.3868713378906
2026-02-04,275.97723388671875,332.80572509765625,412.35369873046875
2026-02-05,275.3983459472656,331.0169677734375,391.9246520996094
2026-02-06,277.6042175292969,322.63287353515625,399.3615417480469
2026-02-09,274.3672180175781,324.09185791015625,411.76629638671875
2026-02-10,273.4280700683594,318.3558654785156,411.437744140625
2026-02-11,275.24639892578125,310.7412414550781,402.5771789550781
2026-02-12,261.4891052246094,308.7826232910156,400.05841064453125
2026-02-13,255.5445556640625,305.50494384765625,399.5407409667969
2026-02-17,263.6371154785156,301.8075256347656,395.1004943847656
2026-02-18,264.106689453125,303.1166076660156,397.8283386230469
2026-02-19,260.3401184082031,302.636962890625,397.5988464355469
2026-02-20,264.3364562988281,314.7584228515625,396.37152099609375
2026-02-23,265.9349670410156,311.2708740234375,383.6390686035156
2026-02-24,271.8895263671875,310.6813049316406,388.1593017578125
2026-02-25,273.97760009765625,312.67987060546875,399.7342224121094
2026-02-26,272.6987609863281,307.1637878417969,400.851806640625
2026-02-27,263.93682861328125,311.54071044921875,391.8912048339844
2026-03-02,264.476318359375,306.3043518066406,397.6886291503906
2026-03-03,263.5072326660156,303.3664245605469,403.0570068359375
2026-03-04,262.2783508300781,302.9167785644531,404.32427978515625
2026-03-05,260.0504150390625,300.6683349609375,409.79241943359375
2026-03-06,257.2229919433594,298.30999755859375,408.0761413574219
2026-03-09,259.6407775878906,306.3599853515625,408.5251770019531
2026-03-10,260.58990478515625,307.0400085449219,404.8830871582031
2026-03-11,260.5699157714844,308.70001220703125,404.0049743652344
2026-03-12,255.52456665039062,303.54998779296875,400.9914855957031
2026-03-13,249.8897705078125,302.2799987792969,394.69512939453125
2026-03-16,252.58729553222656,305.55999755859375,399.08563232421875
2026-03-17,253.99598693847656,310.9200134277344,398.5467834472656
2026-03-18,249.70994567871094,307.69000244140625,390.9432678222656
2026-03-19,248.73085021972656,307.1300048828125,388.1792297363281
2026-03-20,247.76173400878906,301.0,381.0447082519531
2026-03-23,251.25851440429688,302.05999755859375,382.1722717285156
2026-03-24,251.4083709716797,290.44000244140625,371.9344177246094
2026-03-25,252.38746643066406,290.92999267578125,370.2381286621094
2026-03-26,252.6572265625,280.9200134277344,365.1790771484375
2026-03-27,248.57098388671875,274.3399963378906,355.9989318847656
2026-03-30,246.40298461914062,273.5,358.1842041015625
2026-03-31,253.55638122558594,287.55999755859375,369.3699951171875
2026-04-01,255.3946990966797,297.3900146484375,368.57171630859375
2026-04-02,255.68443298339844,295.7699890136719,372.6528625488281
2026-04-06,258.6217041015625,299.989990234375,372.0741271972656
2026-04-07,253.26666259765625,305.4599914550781,371.48541259765625
2026-04-08,258.66168212890625,317.32000732421875,373.52099609375
2026-04-09,260.2502136230469,318.489990234375,372.26373291015625
2026-04-10,260.240234375,317.239990234375,370.0684814453125
2026-04-13,258.96142578125,321.30999755859375,383.539306640625
2026-04-14,258.59173583984375,332.9100036621094,392.2604064941406
2026-04-15,266.18475341796875,337.1199951171875,410.3312683105469
2026-04-16,263.15753173828125,336.0199890136719,419.35174560546875
2026-04-17,269.98126220703125,341.67999267578125,421.87628173828125
2026-04-20,272.79864501953125,337.4200134277344,417.1664733886719
2026-04-21,265.9250183105469,332.2900085449219,423.2433166503906
2026-04-22,272.9185791015625,339.32000732421875,431.984375
2026-04-23,273.1783142089844,338.8900146484375,414.8514709472656
2026-04-24,270.81048583984375,344.3999938964844,423.7023010253906
2026-04-27,267.3636474609375,350.3399963378906,423.9018859863281
2026-04-28,270.4608154296875,349.7799987792969,428.3222961425781
2026-04-29,269.92132568359375,349.94000244140625,423.5426330566406
2026-04-30,271.1002502441406,384.79998779296875,406.8987121582031
2026-05-01,279.88214111328125,385.69000244140625,413.5443115234375
2026-05-04,276.5751647949219,383.25,412.72607421875
2026-05-05,283.9184265136719,388.42999267578125,410.4909362792969
2026-05-06,287.245361328125,398.0400085449219,413.0653381347656
2026-05-07,287.1754150390625,397.989990234375,419.8606262207031
2026-05-08,293.0500183105469,400.79998779296875,414.22283935546875
2026-05-11,292.67999267578125,388.6400146484375,411.7681579589844
2026-05-12,294.79998779296875,387.3500061035156,406.8887023925781
2026-05-13,298.8699951171875,402.6199951171875,404.3342590332031
2026-05-14,298.2099914550781,401.07000732421875,408.5451354980469
2026-05-15,300.2300109863281,396.7799987792969,421.0081481933594
2026-05-18,297.8399963378906,396.94000244140625,422.6246643066406
2026-05-19,298.9700012207031,387.6600036621094,416.51788330078125
2026-05-20,302.25,388.9100036621094,420.1499938964844
2026-05-21,304.989990234375,387.6600036621094,419.0899963378906
2026-05-22,308.82000732421875,382.9700012207031,418.57000732421875
2026-05-26,308.3299865722656,388.8800048828125,416.0299987792969
2026-05-27,310.8500061035156,388.8299865722656,412.6700134277344
2026-05-28,310.7204895019531,390.6549987792969,426.5950012207031
